full_date,date_key,year,quarter,quarter_name,month,month_name,month_short,year_month,day_of_month,day_of_week,day_name,day_short,week_of_year,is_weekend,season,holiday_name,is_holiday,is_trading_day
2015-04-12,20150412,2015,2,Q2,4,April,Apr,2015-04,12,7,Sunday,Sun,15,True,Spring,,False,True
2015-04-13,20150413,2015,2,Q2,4,April,Apr,2015-04,13,1,Monday,Mon,16,False,Spring,,False,True
2015-04-14,20150414,2015,2,Q2,4,April,Apr,2015-04,14,2,Tuesday,Tue,16,False,Spring,,False,True
2015-04-15,20150415,2015,2,Q2,4,April,Apr,2015-04,15,3,Wednesday,Wed,16,False,Spring,,False,True
2015-04-16,20150416,2015,2,Q2,4,April,Apr,2015-04,16,4,Thursday,Thu,16,False,Spring,,False,True
2015-04-17,20150417,2015,2,Q2,4,April,Apr,2015-04,17,5,Friday,Fri,16,False,Spring,,False,True
2015-04-18,20150418,2015,2,Q2,4,April,Apr,2015-04,18,6,Saturday,Sat,16,True,Spring,,False,True
2015-04-19,20150419,2015,2,Q2,4,April,Apr,2015-04,19,7,Sunday,Sun,16,True,Spring,,False,True
2015-04-20,20150420,2015,2,Q2,4,April,Apr,2015-04,20,1,Monday,Mon,17,False,Spring,,False,True
2015-04-21,20150421,2015,2,Q2,4,April,Apr,2015-04,21,2,Tuesday,Tue,17,False,Spring,,False,True
2015-04-22,20150422,2015,2,Q2,4,April,Apr,2015-04,22,3,Wednesday,Wed,17,False,Spring,,False,True
2015-04-23,20150423,2015,2,Q2,4,April,Apr,2015-04,23,4,Thursday,Thu,17,False,Spring,,False,True
2015-04-24,20150424,2015,2,Q2,4,April,Apr,2015-04,24,5,Friday,Fri,17,False,Spring,,False,True
2015-04-25,20150425,2015,2,Q2,4,April,Apr,2015-04,25,6,Saturday,Sat,17,True,Spring,,False,True
2015-04-26,20150426,2015,2,Q2,4,April,Apr,2015-04,26,7,Sunday,Sun,17,True,Spring,,False,True
2015-04-27,20150427,2015,2,Q2,4,April,Apr,2015-04,27,1,Monday,Mon,18,False,Spring,,False,True
2015-04-28,20150428,2015,2,Q2,4,April,Apr,2015-04,28,2,Tuesday,Tue,18,False,Spring,,False,True
2015-04-29,20150429,2015,2,Q2,4,April,Apr,2015-04,29,3,Wednesday,Wed,18,False,Spring,,False,True
2015-04-30,20150430,2015,2,Q2,4,April,Apr,2015-04,30,4,Thursday,Thu,18,False,Spring,,False,True
2015-05-01,20150501,2015,2,Q2,5,May,May,2015-05,1,5,Friday,Fri,18,False,Spring,,False,True
2015-05-02,20150502,2015,2,Q2,5,May,May,2015-05,2,6,Saturday,Sat,18,True,Spring,,False,True
2015-05-03,20150503,2015,2,Q2,5,May,May,2015-05,3,7,Sunday,Sun,18,True,Spring,,False,True
2015-05-04,20150504,2015,2,Q2,5,May,May,2015-05,4,1,Monday,Mon,19,False,Spring,,False,True
2015-05-05,20150505,2015,2,Q2,5,May,May,2015-05,5,2,Tuesday,Tue,19,False,Spring,,False,True
2015-05-06,20150506,2015,2,Q2,5,May,May,2015-05,6,3,Wednesday,Wed,19,False,Spring,,False,True
2015-05-07,20150507,2015,2,Q2,5,May,May,2015-05,7,4,Thursday,Thu,19,False,Spring,,False,True
